source_id,genre,condition,target_persona,model,mode,prompt_variant,repeat_idx,d_H,delta_H,text_len,hop_index,d_total,d_step,dS,dR,nli_entailment,creativity_auto,creativity_auto_geom,value_auto,value_auto_geom,novelty_auto_combined,distinct2_rel,novel_ngram_rel,embedding_distance_rel,coherence_auto,perplexity,sentiment_shift,kendall_tau,levenshtein,novelty_judge,coherence_judge,fidelity_judge,value_judge,value_judge_geom,creativity_judge,creativity_judge_geom,fidelity_fused,source_file
academic_02,academic,T3,continuous_S+0.202_R+0.671,gen_openai_4o,joint,0,1,0.36858567052943086,"[-0.7980073001212, 0.6708409059608055]",230,,,,-0.7980073001212,0.6708409059608055,0.34898650646209717,0.2255386335443797,0.2094813912587064,0.5544476544244836,0.5149737062945933,0.4067807515183533,0.72034225455506,0.0,0.5,0.7599088023868702,44.96735763549805,0.037072423845529556,0.9045199174779452,0.5653153153153153,,,,,,,,,main_continuous_metrics
academic_02,academic,T3,continuous_S-0.372_R-0.529,gen_openai_4o,joint,0,2,0.5200102058970908,"[-1.3723612865821346, -0.5290646586077228]",247,,,,-1.3723612865821346,-0.5290646586077228,0.8496914505958557,0.3245307351349316,0.3243834731911646,0.8248454964160592,0.8244712072102643,0.39344427113321534,0.680332813399646,0.0,0.5,0.7999995422362627,40.000057220458984,0.05912257730960846,1.0,0.42145178764897073,,,,,,,,,main_continuous_metrics
academic_02,academic,T3,continuous_S-0.036_R+0.648,gen_openai_4o,joint,0,2,0.4321053078330214,"[-1.0362604831840057, 0.6479847123590282]",253,,,,-1.0362604831840057,0.6479847123590282,0.12115307152271271,0.18225943983093013,0.1240677356296678,0.4529819155033009,0.3083540725781745,0.40235478193080754,0.7070643457924226,0.0,0.5,0.7848107594838891,41.890716552734375,0.07115528360009193,0.8595732599803958,0.503731343283582,0.6,0.9333333333333333,1.0,0.7469549345473449,0.7233289477897309,0.4481729607284069,0.43399736867383854,0.5605765357613564,main_continuous_metrics
academic_02,academic,T3,continuous_S+0.420_R-0.717,gen_openai_4o,joint,0,2,0.326076219433232,"[-0.5800363038657266, -0.717051945982117]",221,,,,-0.5800363038657266,-0.717051945982117,0.9411821961402893,0.3257622859669978,0.32414431528912385,0.855975927901331,0.8517245335196911,0.38057412054296536,0.6417223616288961,0.0,0.5,0.7707696596623729,43.62784194946289,0.10382787510752678,1.0,0.41924398625429554,0.26666666666666666,1.0,1.0,0.9852955490350723,0.9851858190565599,0.262745479742686,0.26271621841508264,0.9705910980701447,main_continuous_metrics
academic_02,academic,T3,continuous_S-0.178_R+0.587,gen_openai_4o,joint,0,2,0.46536977957039144,"[-1.1782980170416313, 0.5866566601811638]",245,,,,-1.1782980170416313,0.5866566601811638,0.9486792683601379,0.34207103189500676,0.3401372116350304,0.8576160231458201,0.852767687314364,0.39886268756996457,0.6965880627098937,0.0,0.5,0.7665527779315022,44.148231506347656,0.05521070584654808,1.0,0.3444027852169255,,,,,,,,,main_continuous_metrics
academic_02,academic,T0,,gen_openai_mini,identity,0,0,0.0,,241,,,,0.0,0.0,0.5875829458236694,0.24333106969691154,0.24044988026485314,0.6940755561502465,0.6858572749421746,0.3505829697368534,0.55174890921056,0.0,0.5,0.8005681664768235,39.9289665222168,0.0,1.0,0.0,0.26666666666666666,1.0,1.0,0.8968957364559174,0.8909497589156387,0.23917219638824463,0.23758660237750365,0.7937914729118347,main_continuous_metrics
academic_02,academic,T1,rational_conservative,gen_openai_mini,joint,0,0,0.35355339059327373,"[0.0, -1.0]",246,,,,0.0,-1.0,0.729712188243866,0.2694301771574388,0.26893170738098543,0.7769515786444718,0.775514149163454,0.3467785954274099,0.5403357862822298,0.0,0.5,0.8241909690450776,36.948486328125,0.03671976923942566,1.0,0.18701870187018702,0.4666666666666667,1.0,1.0,0.9324280470609665,0.929976394389628,0.435133088628451,0.43398898404849306,0.864856094121933,main_continuous_metrics
academic_02,academic,T1,rational_conservative,gen_openai_mini,joint,0,1,0.35355339059327373,"[0.0, -1.0]",246,,,,0.0,-1.0,0.729712188243866,0.2694301771574388,0.26893170738098543,0.7769515786444718,0.775514149163454,0.3467785954274099,0.5403357862822298,0.0,0.5,0.8241909690450776,36.948486328125,0.03671976923942566,1.0,0.18701870187018702,0.4666666666666667,1.0,1.0,0.9324280470609665,0.929976394389628,0.435133088628451,0.43398898404849306,0.864856094121933,main_continuous_metrics
academic_02,academic,T1,rational_conservative,gen_openai_mini,joint,0,2,0.35355339059327373,"[0.0, -1.0]",246,,,,0.0,-1.0,0.729712188243866,0.2694301771574388,0.26893170738098543,0.7769515786444718,0.775514149163454,0.3467785954274099,0.5403357862822298,0.0,0.5,0.8241909690450776,36.948486328125,0.03671976923942566,1.0,0.18701870187018702,0.4666666666666667,1.0,1.0,0.9324280470609665,0.929976394389628,0.435133088628451,0.43398898404849306,0.864856094121933,main_continuous_metrics
academic_02,academic,T2,emotional_conservative,gen_openai_mini,joint,0,0,0.7905694150420948,"[-2.0, -1.0]",240,,,,-2.0,-1.0,0.8902619481086731,0.3788701170956709,0.3787977686808039,0.908005979884202,0.9078325885546403,0.41725509026271856,0.6212852871921283,0.13047998359602753,0.5,0.9257500116597308,22.656421661376953,0.09522330015897751,0.9723032139426055,0.5380530973451327,,,,,,,,,main_continuous_metrics
academic_02,academic,T2,emotional_adventurous,gen_openai_mini,joint,0,1,0.7905694150420948,"[-2.0, 1.0]",286,,,,-2.0,1.0,0.5202626585960388,0.24988083227215294,0.24852645191851272,0.580634187223005,0.577487088949496,0.4303584559277438,0.6752320139441086,0.11584335383912286,0.5,0.6410057158499712,59.869110107421875,0.5638534026220441,0.9167381299493578,0.505443234836703,,,,,,,,,main_continuous_metrics
